freq,nrg_bal,unit,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 	2023 
A,REN,PC,AT	33.784 	33.755 	36.545 	34.643 	34.057 	41.600 
A,REN,PC,BE	9.472 	9.929 	13 	13.076 	13.816 	14.741 
A,REN,PC,BG	20.581 	21.545 	23.319 	19.394 	19.079 	23.151 
A,REN,PC,CY	13.873 	13.777 	16.879 	19.069 	19.427 	20.213 
A,REN,PC,CZ	15.139 	16.239 	17.303 	17.614 	18.123 	18.586 
A,REN,PC,DE	16.66 	17.266 	19.09 	19.300 	20.814 	21.562 
A,REN,PC,DK	35.159 	37.02 	31.681 	41.495 	41.370 	43.730 
A,REN,PC,EE	29.97 	31.73 	30.069 	37.342 	38.542 	40.950 
A,REN,PC,EL	18.001 	19.633 	21.749 	22.001 	22.671 	25.269 
A,REN,PC,ES	17.023 	17.852 	21.22 	20.552 	21.837 	24.981 
A,REN,PC,FI	41.185 	42.807 	43.939 	42.819 	47.740 	50.750 
A,REN,PC,FR	16.384 	17.174 	19.109 	19.391 	20.330 	22.462 
A,REN,PC,HR	28.047 	28.466 	31.023 	31.285 	28.088 	28.088 
A,REN,PC,HU	12.548 	12.634 	13.85 	14.134 	15.128 	17.117 
A,REN,PC,IE	10.942 	11.979 	16.16 	12.945 	13.017 	15.243 
A,REN,PC,IT	17.796 	18.181 	20.359 	18.883 	19.131 	19.594 
A,REN,PC,LT	24.695 	25.474 	26.773 	28.166 	29.599 	31.926 
A,REN,PC,LU	8.942 	7.046 	11.699 	11.713 	14.286 	14.312 
A,REN,PC,LV	40.019 	40.929 	42.132 	42.096 	43.720 	43.223 
A,REN,PC,MT	7.914 	8.23 	10.714 	12.631 	14.040 	15.111 
A,REN,PC,NL	7.394 	8.886 	13.999 	13.117 	15.291 	17.588 
A,REN,PC,PL	14.936 	15.377 	16.102 	15.604 	16.644 	16.651 
A,REN,PC,PT	30.203 	30.623 	33.982 	33.982 	34.675 	35.154 
A,REN,PC,RO	23.875 	24.29 	24.478 	23.871 	24.229 	25.782 
A,REN,PC,SE	53.916 	55.785 	60.124 	62.527 	66.287 	66.393 
A,REN,PC,SI	21.378 	21.968 	25 	25.000 	25.002 	25.066 
A,REN,PC,SK	11.896 	16.894 	17.345 	17.419 	17.482 	16.991 
