Kod;Nazwa;"ogółem;ogółem;2024;[osoba]";"ogółem;mężczyźni;2024;[osoba]";"ogółem;kobiety;2024;[osoba]"
200000;DOLNOŚLĄSKIE;2868242;1377851;1490391
400000;KUJAWSKO-POMORSKIE;1984479;959437;1025042
600000;LUBELSKIE;1996440;966128;1030312
800000;LUBUSKIE;969819;470471;499348
1000000;ŁÓDZKIE;2345924;1117687;1228237
1200000;MAŁOPOLSKIE;3429084;1662575;1766509
1400000;MAZOWIECKIE;5508322;2637677;2870645
1600000;OPOLSKIE;930296;449412;480884
1800000;PODKARPACKIE;2062997;1009431;1053566
2000000;PODLASKIE;1132641;550801;581840
2200000;POMORSKIE;2359493;1145337;1214156
2400000;ŚLĄSKIE;4291441;2062849;2228592
2600000;ŚWIĘTOKRZYSKIE;1157991;562929;595062
2800000;WARMIŃSKO-MAZURSKIE;1349172;658055;691117
3000000;WIELKOPOLSKIE;3479986;1690043;1789943
3200000;ZACHODNIOPOMORSKIE;1622760;786344;836416
